Latitude,Longitude,Name
39.493970,-84.568430,42E-L
39.473720,-84.343530,42F-R
39.472987,-84.343474,42G-L
39.450070,-84.236810,42H-R
39.436040,-84.215260,42I-S
39.433890,-84.215454,42J-L
39.430720,-84.187740,42K-R
39.364650,-84.172590,42L-L
39.357470,-84.128840,42M-R
39.354730,-84.127510,42N-R
39.354060,-84.130210,42O-L
39.348280,-84.129930,42P-L
39.344310,-84.095290,42Q-R
39.289040,-84.005100,42R-L
39.296310,-83.983600,43A-R
39.295120,-83.982320,43B-BL
39.323932,-83.692055,43C-L
39.325569,-83.690171,43D-R
39.324990,-83.688990,43E-L
39.345225,-83.554951,43F-BL
39.348170,-83.063860,43G-L
39.318470,-82.894630,44A-R
39.290300,-82.875210,44B-L
39.267610,-82.584750,44C-BL
39.210760,-82.236020,44D-L
39.300230,-82.109630,44E-S
39.303930,-82.102980,44F-S
39.326610,-82.101480,44G-L
39.332160,-82.100860,44H-R
39.332080,-82.098210,44I-L
39.212220,-81.818090,45A-S
39.281270,-81.682580,45B-BR
39.261780,-81.059560,45C-BR
39.283790,-80.400050,46A-R
39.281500,-80.406110,46B-L
39.268810,-80.372780,46C-L
39.273110,-80.368740,46D-R
39.267320,-80.361490,46E-BL
39.268150,-80.355580,46F-R
39.264750,-80.327360,46G-L
39.278800,-80.321350,46H-R
39.278300,-80.293370,46I-R
39.278020,-80.293200,46J-L
39.293050,-79.347440,47A-BR
39.368390,-79.033880,47B-BL
39.595220,-78.829550,48A-L
39.595790,-78.834170,48B-R
39.630530,-78.837250,48C-R
39.638820,-78.830320,48D-R
39.670140,-78.790370,48E-BR
39.659860,-78.776190,48F-L
39.655040,-78.760850,48G-L
39.678360,-78.736730,49A-R
39.674570,-78.727600,49B-R
39.672840,-78.727840,49C-L
39.677140,-78.458280,49D-L
39.686660,-78.439260,49E-BR
39.702350,-78.353850,49F-R
39.701070,-78.353800,49G-L
39.705080,-78.328920,49H-S
39.705460,-78.297570,49I-R
39.699350,-78.182120,49J-L
39.725790,-78.168590,50A-R
39.730280,-78.144800,50B-R
39.723810,-78.112600,50C-R
39.722560,-78.113240,50D-L
39.717400,-78.110630,50E-L
39.710480,-78.101740,50F-L
39.712190,-78.087780,50G-R
39.705330,-78.074430,50H-BL
39.705140,-78.074260,50I-L
39.723580,-78.060140,50J-R
39.867260,-77.965510,50K-R
39.825740,-77.903760,50L-BL
39.738460,-77.532290,50M-BR
39.738450,-77.480780,51A-R
39.743000,-77.415400,51B-L
39.768810,-77.385250,51C-R
39.766220,-77.381880,51D-L
39.795490,-77.357400,51E-R
39.768990,-77.313750,51F-L
39.794210,-77.231220,51G-R
39.792220,-77.230990,51H-L
39.785060,-77.195380,51I-L
39.791890,-77.191900,51J-R
39.744790,-77.088280,51K-L
39.793650,-76.991020,51L-R
39.787200,-76.984130,51M-L
39.792910,-76.975170,51N-R
39.664380,-76.886630,52A-R
39.354360,-77.170170,52B-L
39.354000,-77.169820,52C-L
39.359220,-77.159090,53A-R
39.352850,-77.157590,53B-BL
39.346240,-77.158310,53C-L
39.339430,-77.153040,53D-R
39.274130,-77.155522,53E-L
39.254830,-77.143730,53F-S
39.221610,-77.059990,53G-S
39.199250,-77.024310,53H-BR
39.192990,-77.026560,53I-L
39.200060,-76.980170,53J-R
39.101458,-76.856154,53K-L
39.089590,-76.758340,53L-S
39.088230,-76.721660,53M-BR
39.057170,-76.657600,54A-S
39.059490,-76.627850,54B-R
39.041410,-76.606410,54C-L
38.991230,-76.549710,55A-L
38.982040,-76.495970,55B-BR
38.980270,-76.495030,55C-S
38.978667,-76.493315,55D-R
38.978099,-76.492423,55E-R
38.976100,-76.489100,55F-L
38.977272,-76.487704,55G-R
38.977834,-76.486836,55H-R
