109,5,2562,TS 44: Athens OH +16.2mi
110,6,2585,TS 44: Athens OH +39.2mi
111,7,2608,TS 44: Athens OH +62.2mi
112,8,2631,TS 45: Ellenboro WV +18.5mi
113,9,2654,TS 45: Ellenboro WV +41.5mi
114,10,2677,TS 45: Ellenboro WV +64.5mi
115,11,2695,TS 46: Grafton WV +17.2mi
116,12,2714,TS 46: Grafton WV +36.2mi
117,13,2735,TS 46: Grafton WV +57.2mi
118,14,2760,TS 47: Keyser WV +12.3mi
119,15,2783,TS 48: Cumberland MD +6.7mi
120,16,2803,TS 48: Cumberland MD +26.7mi
121,17,2824,TS 49: Hancock MD +10.6mi
122,18,2846,TS 49: Hancock MD +32.6mi
123,19,2869,TS 50: Rouzerville PA +7.1mi
124,20,2892,TS 50: Rouzerville PA +30.1mi
125,21,2915,TS 51: Hanover PA +12.8mi
126,22,2939,TS 52: Mt Airy MD +0.2mi
127,23,2963,TS 52: Mt Airy MD +24.2mi
128,0,2987,TS 53: Odenton MD +8.7mi
