latitude,longitude,name
33.26327,-117.2632,246
33.26458,-117.26268,247
33.26486,-117.26254,248
33.26535,-117.26223,249
33.26548,-117.26218,250
33.26565,-117.26217,251
33.26678,-117.26232,252
33.26697,-117.26237,253
33.26715,-117.26244,254
33.26751,-117.26267,255
33.26788,-117.26281,256
33.26809,-117.26284,257
33.26838,-117.26283,258
33.2686,-117.26283,259
33.26884,-117.26288,260
33.26908,-117.26303,261
33.26936,-117.26324,262
33.26987,-117.26349,263
33.27021,-117.26369,264
33.27089,-117.26416,265
33.27125,-117.2644,266
33.27152,-117.26448,267
33.27182,-117.26455,268
33.27234,-117.26467,269
33.27256,-117.2648,270
33.27273,-117.26496,271
33.27346,-117.26599,272
33.27357,-117.2661,273
33.27373,-117.26619,274
33.27461,-117.26634,275
33.27485,-117.26642,276
33.27506,-117.26658,277
33.27522,-117.26678,278
33.27531,-117.26699,279
33.2754,-117.26757,280
33.27548,-117.26782,281
33.27562,-117.26805,282
33.27615,-117.26869,283
33.27662,-117.26928,284
33.27711,-117.26986,285
33.27772,-117.27059,286
33.27785,-117.27067,287
33.27803,-117.27072,288
33.27963,-117.27069,289
33.2802,-117.2707,290
33.28258,-117.27071,291
33.2841,-117.27072,292
33.28519,-117.27072,293
33.28598,-117.27072,294
33.28657,-117.27072,295
33.28664,-117.27072,296
33.2867,-117.2707,297
33.2868,-117.27066,298
33.2883,-117.26987,299
33.28842,-117.2698,300
33.28856,-117.26968,301
33.28868,-117.26953,302
33.28876,-117.26939,303
33.28891,-117.269,304
33.28902,-117.26879,305
33.28913,-117.26865,306
33.28964,-117.26826,307
33.29003,-117.26793,308
33.29026,-117.26767,309
33.2905,-117.26738,310
33.29192,-117.26606,311
33.29253,-117.26547,312
33.29282,-117.26526,313
33.29301,-117.26517,314
33.29318,-117.26515,315
33.29334,-117.26518,316
33.29374,-117.26542,317
33.2942,-117.26572,318
33.29446,-117.26585,319
33.29462,-117.26586,320
33.29483,-117.26579,321
